"Instituto","Campus","Co_unidade_ensino","Cidade","Sigla"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS APARECIDA DE GOIÂNIA","20430","APARECIDA DE GOIÂNIA","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS CAMPOS BELOS","32229","CAMPOS BELOS","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS AVANÇADO CATALÃO","32225","CATALÃO","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS CERES","2953","CERES","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS CRISTALINA","32227","CRISTALINA","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS FORMOSA","13793","FORMOSA","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS GOIÂNIA","3001","GOIÂNIA","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS GOIÂNIA OESTE","20433","GOIÂNIA","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS GOIÂNIA OESTE","32021","GOIÂNIA","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS CIDADE DE GOIÁS","20417","GOIÁS","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS AVANÇADO HIDROLÂNDIA","32228","HIDROLÂNDIA","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS INHUMAS","3003","INHUMAS","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS AVANÇADO IPAMERI","42052","IPAMERI","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS IPORÁ","14085","IPORÁ","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS ITUMBIARA","3508","ITUMBIARA","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS JATAÍ","3002","JATAÍ","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS LUZIÂNIA","13794","LUZIÂNIA","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS MORRINHOS","2955","MORRINHOS","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS POSSE","32230","POSSE","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS RIO VERDE","2954","RIO VERDE","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS SENADOR CANEDO","42670","SENADOR CANEDO","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS TRINDADE","32231","TRINDADE","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS URUAÇU","3509","URUAÇU","GO"
"INSTITUTO FEDERAL GOIANO","CAMPUS URUTAÍ","2956","URUTAÍ","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS VALPARAÍSO DE GOIÁS","31961","VALPARAÍSO DE GOIÁS","GO"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS AÇAILÂNDIA","2910","AÇAILÂNDIA","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS ALCÂNTARA","13886","ALCÂNTARA","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS ARAIOSES","42174","ARAIOSES","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS BACABAL","20183","BACABAL","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS BARRA DO CORDA","20106","BARRA DO CORDA","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS BARREIRINHAS","20092","BARREIRINHAS","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS BURITICUPU","2908","BURITICUPU","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS AVANÇADO CAROLINA","42117","CAROLINA","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS CAXIAS","20382","CAXIAS","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS CODÓ","2904","CODÓ","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS COELHO NETO","23516","COELHO NETO","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS GRAJAÚ","32133","GRAJAÚ","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS IMPERATRIZ","2905","IMPERATRIZ","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS ITAPECURU MIRIM","42113","ITAPECURU MIRIM","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS PEDREIRAS","32134","PEDREIRAS","MA"
"INSTITUTO FEDERAL DO MARANHÃO","CAMPUS PINHEIRO","20290","PINHEIRO","MA"
