"INICIO","CICLO","CURSO_SISTEC","CURSO_QACADEMICO","CAMPUS"
"2019.2",2649719,"TÉCNICO EM ELETRÔNICA","CURSO TÉCNICO INTEGRADO EM ELETRÔNICA RC_","RECIFE"
"2019.1",2608757,"TÉCNICO EM QUÍMICA","CURSO TÉCNICO INTEGRADO EM QUÍMICA 2014_1","RECIFE"
"2019.2",2640323,"TÉCNICO EM QUÍMICA","CURSO TÉCNICO INTEGRADO EM QUÍMICA 2014_1","RECIFE"
"2019.1",2581925,"TÉCNICO EM EDIFICAÇÕES","EDIFICAÇÕES- INTEGRADO","PESQUEIRA"
"2019.1",2581452,"TÉCNICO EM EDIFICAÇÕES","EDIFICAÇÕES - SUB","PESQUEIRA"
"2019.2",2635713,"TÉCNICO EM EDIFICAÇÕES","EDIFICAÇÕES - SUB","PESQUEIRA"
"2019.1",2596560,"ELEMENTOS BÁSICOS DE FONÉTICA E FONOLOGIA VISANDO À ORTOGRAFIA E À ACENTUAÇÃO GRÁFICA","ELEMENTOS BÁSICOS DE FONÉTICA E FONOLOGIA VISANDO À ACENTUAÇÃO GRÁFICA - PS EXT","PESQUEIRA"
"2019.1",2581422,"TÉCNICO EM ELETROTÉCNICA","ELETROTÉCNICA - SUB","PESQUEIRA"
"2019.1",2581932,"TÉCNICO EM ELETROTÉCNICA","ELETROTÉCNICA INTEGRADO PS","PESQUEIRA"
"2019.1",2608770,"ENGENHARIA MECÂNICA","ENGENHARIA MECÂNICA","RECIFE"
"2019.1",2603292,"ESPANHOL INTERMEDIÁRIO II","ESPANHOL INTERMEDIÁRIO II EXT CR","CARUARU"
"2019.2",2652644,"DESENVOLVIMENTO, INOVAÇÃO E TECNOLOGIA EMERGENTES","ESPECIALIZAÇÃO EM DESENVOLVIMENTO,INOVAÇÃO E TECNOLOGIAS EMERGENTES","JABOATÃO DOS GUARARAPES"
"2019.2",2659185,"EDUCAÇÃO AMBIENTAL E CULTURAL","ESPECIALIZAÇÃO EM EDUCAÇÃO AMBIENTAL E CULTURAL","RECIFE"
"2019.2",2635839,"ESPECIALIZAÇÃO LATU SENSU EM EDUCAÇÃO DO CAMPO","ESPECIALIZAÇÃO EM EDUCAÇÃO DO CAMPO","AFOGADOS DA INGAZEIRA"
"2019.1",2592684,"PÓS-GRADUAÇÃO LATO SENSU EM ENGENHARIA DE SEGURANÇA DO TRABALHO","ESPECIALIZAÇÃO EM ENGENHARIA DE SEGURANÇA DO TRABALHO - CR","CARUARU"
"2019.2",2641105,"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO","ESPECIALIZAÇÃO EM ENSINO DE MATEMÁTICA PARA O ENS_ MÉDIO  -  EAD","EAD"
"2019.2",2652698,"GESTÃO E QUALIDADE EM TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO","ESPECIALIZAÇÃO EM GESTÃO E QUALIDADE EM TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO","JABOATÃO DOS GUARARAPES"
"2019.2",2628113,"GESTÃO PÚBLICA","ESPECIALIZAÇÃO EM GESTÃO PÚBLICA - EAD","EAD"
"2019.2",2629181,"LINGUAGEM E PRÁTICAS SOCIAIS","ESPECIALIZAÇÃO EM LINGUAGEM E PRÁTICAS SOCIAIS","GARANHUNS"
"2019.1",2640137,"ESPECIALIZAÇÃO EM MATEMÁTICA","ESPECIALIZAÇÃO EM MATEMÁTICA - BR","BARREIROS"
"2019.2",2648762,"FORALECIMENTO DA AGRICULTURA FAMILIAR COM A CRIAÇÃO DE AVES CAIPIRAS E APICULTURA","FORTALECIMENTO DA AGRICULTURA FAMILIAR COM A CRIAÇÃO DE AVES CAIPIRAS E APICULTURA","BELO JARDIM"
"2019.2",2650863,"FORALECIMENTO DA AGRICULTURA FAMILIAR COM A CRIAÇÃO DE AVES CAIPIRAS E APICULTURA","FORTALECIMENTO DA AGRICULTURA FAMILIAR COM A CRIAÇÃO DE AVES CAIPIRAS E APICULTURA","BELO JARDIM"
"2019.2",2658289,"INGLÊS COMUNICATIVO","INGLÊS COMUNICATIVO","IGARASSU"
"2019.1",2608932,"INGLÊS 2","INGLÊS PRÉ - INTERMEDIÁRIO II","PESQUEIRA"
"2019.1",2596568,"KARATÊ","KARATÊ, UMA FILOSOFIA DE VIDA EXTPS","PESQUEIRA"
"2019.1",2571181,"LICENCIATURA EM COMPUTAÇÃO","LICENCIATURA EM COMPUTAÇÃO - AF","AFOGADOS DA INGAZEIRA"
